time,id,lat,lon,C2:9B:38:AF:12:75/09b1e796-8c3b-3475-9e45-a8d31f93649b,C2:9B:38:AF:12:75/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,C2:9B:38:AF:12:75/2ab77db3-5669-3f2c-842a-760e4ae0ef4c,C2:9B:38:AF:12:75/3af9ac1c-c3a5-36f7-a737-4868789e2832,C2:9B:38:AF:12:75/c697eede-6a0a-3d21-8936-3a7f86a830ee,C2:9B:38:AF:12:75/f9c1476f-1603-397a-a451-2a30c91dbe5c,D7:85:88:F5:88:4C/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,D7:85:88:F5:88:4C/3af9ac1c-c3a5-36f7-a737-4868789e2832,D7:85:88:F5:88:4C/66bd8860-6e87-3544-b022-1abaf04ce4ca,D7:85:88:F5:88:4C/c697eede-6a0a-3d21-8936-3a7f86a830ee,D7:85:88:F5:88:4C/c77e7cf1-12bc-36be-9270-c8d56e131eac,D7:85:88:F5:88:4C/d3eedeb6-a50a-35bb-9a2c-d9626d3d4b3e,DA:B5:6B:DD:72:60/09b1e796-8c3b-3475-9e45-a8d31f93649b,DA:B5:6B:DD:72:60/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,DA:B5:6B:DD:72:60/3af9ac1c-c3a5-36f7-a737-4868789e2832,DA:B5:6B:DD:72:60/4552091f-a928-358f-8ae8-be7f9b8d89fe,DA:B5:6B:DD:72:60/66bd8860-6e87-3544-b022-1abaf04ce4ca,DA:B5:6B:DD:72:60/c697eede-6a0a-3d21-8936-3a7f86a830ee,E5:53:1E:24:96:2F/09b1e796-8c3b-3475-9e45-a8d31f93649b,E5:53:1E:24:96:2F/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,E5:53:1E:24:96:2F/18eb2042-91cf-38e6-b280-8bef570522d7,E5:53:1E:24:96:2F/3af9ac1c-c3a5-36f7-a737-4868789e2832,E5:53:1E:24:96:2F/a3ad12b7-06e9-31be-bcc9-4cd0249b5562,E5:53:1E:24:96:2F/c697eede-6a0a-3d21-8936-3a7f86a830ee,E8:97:A0:6C:3B:24/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,E8:97:A0:6C:3B:24/3af9ac1c-c3a5-36f7-a737-4868789e2832,E8:97:A0:6C:3B:24/5cc80f56-5657-302f-80a2-769e378f37f2,E8:97:A0:6C:3B:24/c697eede-6a0a-3d21-8936-3a7f86a830ee,E8:97:A0:6C:3B:24/d3eedeb6-a50a-35bb-9a2c-d9626d3d4b3e,E8:97:A0:6C:3B:24/da2c6c1a-c379-3ccb-8392-3a816b474af2,EB:78:55:87:E9:E5/09b1e796-8c3b-3475-9e45-a8d31f93649b,EB:78:55:87:E9:E5/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,EB:78:55:87:E9:E5/1201aae4-b97c-3ec7-8ad3-869e3a8a1d25,EB:78:55:87:E9:E5/3af9ac1c-c3a5-36f7-a737-4868789e2832,EB:78:55:87:E9:E5/6090e946-3b7f-3f74-aeae-e7202f6c8d69,EB:78:55:87:E9:E5/c697eede-6a0a-3d21-8936-3a7f86a830ee
1561029295000.0,165.0,54.72986343,25.26270544,0.0,0.0,0.0,0.0,0.0,0.0,-62.6666666666667,-58.5,-73.0909090909091,-63.0,-69.3636363636364,-53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.6666666666667,0.0,-92.5,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561029294000.0,165.0,54.72986343,25.26270544,0.0,0.0,0.0,0.0,0.0,0.0,-61.1666666666667,-54.0,-70.68,-62.75,-67.0833333333333,-51.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-94.0,0.0,0.0,0.0,0.0,0.0,-94.0,-88.25,0.0,-92.5,-87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561029293000.0,165.0,54.72986343,25.26270544,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,-61.0,-72.1538461538462,-63.25,-68.1818181818182,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.0,0.0,0.0,0.0,0.0,0.0,-94.0,-88.3333333333333,0.0,-92.0,-87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561029292000.0,165.0,54.72986343,25.26270544,0.0,0.0,0.0,0.0,0.0,0.0,-69.0,-61.6666666666667,-75.8461538461538,-64.2,-73.6363636363636,-53.75,0.0,0.0,0.0,0.0,0.0,0.0,-94.0,0.0,0.0,0.0,0.0,0.0,-94.0,-84.0,0.0,-91.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561029291000.0,165.0,54.72986343,25.26270544,0.0,0.0,0.0,0.0,0.0,0.0,-73.4444444444444,-64.3333333333333,-80.3076923076923,-64.8,-77.9090909090909,-57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561029290000.0,165.0,54.72986343,25.26270544,0.0,0.0,0.0,0.0,0.0,0.0,-73.375,-60.25,-80.7777777777778,-64.6,-77.6363636363636,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,0.0,-95.0,0.0,-96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561029289000.0,165.0,54.7298664677672,25.2627055084085,0.0,0.0,0.0,0.0,0.0,0.0,-70.375,-64.75,-81.2222222222222,-66.5,-77.9090909090909,-57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,0.0,-92.0,0.0,-96.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561029288000.0,165.0,54.7298698430641,25.2627055844181,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-62.75,-76.5384615384615,-64.0,-72.1818181818182,-50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,0.0,-91.3333333333333,0.0,-96.0,-86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561029287000.0,164.0,54.729873218361,25.2627056604276,0.0,0.0,0.0,0.0,0.0,0.0,-64.5,-60.6666666666667,-72.7307692307692,-63.5,-71.25,-48.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,-92.0,-86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561029286000.0,164.0,54.729876593658,25.2627057364371,0.0,0.0,0.0,0.0,0.0,0.0,-62.8,-50.5,-69.5384615384615,-59.5,-67.2727272727273,-46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.25,0.0,-92.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
