id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
1,0.0,2.45,1.23,5.53,3.99,36.43,36.55,36.35,38.85,38.95,38.79,24.78,7.8,8.35,7.24,1.4,6.6,7.65,4.18,2.98,6.46,5.23,11.8,13.43,8.55,10.17,7.16,8.38,4.45,4.19,2.8,13.55,10.21,11.88,8.55,18.17,16.99,20.95,19.36,23.73,22.54,26.0,24.93,19.17,22.38,15.8,15.55,8.56,10.05,7.08,11.62,13.0,8.93,10.26,27.08,26.95,27.26,11.54,13.03,27.5,25.89,30.75,29.13,34.01,32.38,37.28,35.65,14.8,13.28,17.9,16.34,21.07,19.48,24.27,22.67,45.37,46.92,42.16,43.83,38.82,40.49,35.5,37.16,40.56,38.92,43.84,42.2,44.23,45.48,44.02,8.7,9.92,6.73,7.62,5.93,6.14,5.37,5.49,1.48,2.97,16.98,14.04,15.5,11.24,12.62,5.74,5.59,6.99,6.23,9.02,7.94,11.8,10.37,15.55,16.28,13.83,14.87,12.83,19.12,18.09,22.34,20.73,24.75,23.54,26.92,25.83,8.67,7.07,11.87,10.27,14.27,13.07,17.06,15.47,42.14,40.46,45.49,43.82,47.94,46.72,49.17,30.03,28.47,33.14,31.58,36.33,34.69,38.78,37.56,22.67,23.03,22.44,34.76,34.87,34.7,32.21,33.85,28.93,30.57,25.7,27.31,23.51,24.1,45.52,45.61
2,2.45,0.0,1.22,3.08,1.54,33.99,34.12,33.91,36.41,36.52,36.34,22.34,5.7,6.45,4.9,2.88,7.35,8.48,3.38,1.69,4.57,3.73,13.81,15.41,10.65,12.22,9.03,10.23,6.41,4.96,3.81,15.17,11.78,13.47,10.09,15.77,14.59,18.54,16.95,21.31,20.12,23.58,22.5,16.73,19.94,13.42,13.11,9.0,10.43,7.59,12.76,14.21,9.9,11.33,24.65,24.5,24.85,11.88,13.33,25.12,23.51,28.36,26.74,31.61,29.98,34.87,33.24,12.59,11.13,15.61,14.09,18.74,17.17,21.91,20.32,42.96,44.5,39.75,41.42,36.43,38.09,33.13,34.77,38.14,36.51,41.42,39.78,41.85,43.06,41.62,11.15,12.36,9.1,10.05,7.85,8.35,6.52,7.08,3.65,5.0,19.24,16.37,17.79,13.64,14.99,5.76,6.22,5.91,5.66,7.31,6.48,9.75,8.45,13.11,13.83,11.4,12.46,10.38,16.67,15.64,19.89,18.28,22.3,21.09,24.47,23.38,6.22,4.62,9.42,7.82,11.82,10.62,14.61,13.02,39.69,38.01,43.04,41.37,45.49,44.27,46.71,27.58,26.02,30.69,29.13,33.88,32.24,36.33,35.11,20.25,20.65,20.0,32.32,32.44,32.26,29.84,31.48,26.6,28.22,23.4,24.99,21.17,21.83,43.08,43.17
3,1.23,1.22,0.0,4.31,2.77,35.21,35.34,35.13,37.63,37.73,37.57,23.56,6.72,7.36,6.06,1.9,6.88,7.98,3.6,2.09,5.46,4.37,12.79,14.4,9.58,11.18,8.06,9.27,5.38,4.43,3.11,14.33,10.95,12.64,9.27,16.97,15.79,19.74,18.15,22.52,21.33,24.79,23.71,17.95,21.16,14.61,14.33,8.7,10.17,7.23,12.14,13.56,9.35,10.74,25.86,25.72,26.05,11.65,13.12,26.31,24.7,29.55,27.93,32.81,31.18,36.08,34.44,13.68,12.19,16.75,15.2,19.9,18.32,23.09,21.49,44.17,45.71,40.95,42.62,37.62,39.29,34.31,35.97,39.35,37.71,42.63,40.99,43.04,44.27,42.82,9.93,11.14,7.91,8.83,6.85,7.23,5.85,6.22,2.5,3.92,18.1,15.2,16.64,12.44,13.8,5.62,5.78,6.35,5.82,8.12,7.14,10.75,9.38,14.33,15.06,12.61,13.66,11.6,17.9,16.87,21.11,19.51,23.52,22.32,25.69,24.61,7.45,5.85,10.64,9.05,13.04,11.84,15.84,14.24,40.91,39.23,44.27,42.59,46.72,45.49,47.94,28.8,27.25,31.91,30.36,35.1,33.47,37.56,36.33,21.46,21.84,21.22,33.54,33.66,33.48,31.02,32.66,27.76,29.39,24.55,26.15,22.34,22.96,44.3,44.39
4,5.53,3.08,4.31,0.0,1.54,30.92,31.07,30.83,33.34,33.46,33.27,19.27,3.74,4.82,2.28,5.77,9.17,10.28,4.57,3.51,3.42,3.74,16.5,18.06,13.45,14.96,11.7,12.84,9.21,7.11,6.32,17.47,14.12,15.79,12.44,12.78,11.62,15.52,13.95,18.28,17.1,20.54,19.47,13.67,16.87,10.47,10.07,10.37,11.64,9.17,14.67,16.13,11.74,13.21,21.61,21.43,21.84,12.96,14.31,22.15,20.56,25.36,23.75,28.6,26.98,31.85,30.22,9.97,8.67,12.82,11.37,15.85,14.32,18.98,17.41,39.94,41.48,36.74,38.41,33.44,35.09,30.15,31.79,35.11,33.48,38.38,36.74,38.86,40.02,38.62,14.23,15.42,12.13,13.13,10.57,11.26,8.77,9.61,6.66,7.9,22.15,19.35,20.73,16.68,17.99,7.12,8.06,5.88,6.36,5.93,5.72,7.51,6.56,10.06,10.76,8.36,9.46,7.31,13.59,12.56,16.81,15.2,19.22,18.01,21.39,20.3,3.14,1.54,6.34,4.74,8.74,7.54,11.53,9.94,36.61,34.93,39.96,38.28,42.41,41.19,43.63,24.5,22.94,27.61,26.05,30.8,29.16,33.25,32.03,17.22,17.67,16.93,29.25,29.39,29.18,26.9,28.52,23.69,25.29,20.56,22.11,18.28,19.02,40.0,40.1
5,3.99,1.54,2.77,1.54,0.0,32.45,32.59,32.37,34.87,34.99,34.8,20.8,4.57,5.48,3.5,4.29,8.16,9.29,3.71,2.28,3.73,3.4,15.14,16.71,12.03,13.57,10.34,11.51,7.78,5.93,4.99,16.29,12.91,14.6,11.22,14.27,13.1,17.02,15.45,19.79,18.61,22.05,20.98,15.2,18.4,11.94,11.59,9.59,10.95,8.27,13.66,15.12,10.75,12.2,23.13,22.97,23.34,12.33,13.74,23.63,22.03,26.86,25.24,30.1,28.48,33.36,31.73,11.25,9.86,14.2,12.71,17.29,15.73,20.44,18.86,41.45,42.99,38.25,39.91,34.93,36.59,31.64,33.28,36.62,34.99,39.9,38.26,40.35,41.54,40.12,12.69,13.89,10.61,11.59,9.18,9.79,7.57,8.3,5.14,6.43,20.69,17.86,19.26,15.16,16.49,6.29,7.03,5.69,5.82,6.47,5.92,8.56,7.41,11.58,12.29,9.88,10.96,8.85,15.13,14.1,18.35,16.74,20.76,19.55,22.93,21.84,4.68,3.08,7.88,6.28,10.28,9.08,13.07,11.48,38.15,36.47,41.5,39.82,43.95,42.73,45.17,26.04,24.48,29.15,27.59,32.34,30.7,34.79,33.57,18.73,19.15,18.46,30.79,30.91,30.72,28.37,30.0,25.14,26.75,21.97,23.55,19.72,20.42,41.54,41.63
6,36.43,33.99,35.21,30.92,32.45,0.0,1.36,1.36,2.43,2.76,2.79,11.65,29.3,29.36,29.29,36.41,37.34,38.04,33.84,33.87,30.81,32.33,45.75,47.0,43.32,44.52,41.32,42.2,39.41,36.52,36.44,45.18,42.45,43.81,41.12,18.45,19.66,15.64,17.25,12.83,14.03,10.55,11.63,17.26,14.05,20.86,20.89,37.03,37.31,36.82,41.49,42.67,39.17,40.32,9.46,9.49,9.65,37.64,38.02,10.02,11.59,6.99,8.48,4.4,5.6,3.42,3.57,22.91,24.55,19.65,21.28,16.4,18.02,13.18,14.78,13.98,14.96,12.36,13.13,11.44,11.78,11.51,11.35,5.09,4.01,7.88,6.43,14.69,9.4,13.9,45.12,46.34,42.74,43.91,40.46,41.59,37.92,39.19,37.39,38.38,52.77,50.15,51.45,47.59,48.86,35.22,36.66,32.35,33.79,29.47,30.91,26.19,27.83,21.37,20.41,23.07,22.36,23.83,17.43,18.45,14.26,15.84,11.91,13.08,9.81,10.85,27.8,29.39,24.62,26.21,22.24,23.43,19.47,21.05,6.41,4.94,9.55,7.96,11.92,10.73,13.11,6.87,8.32,4.2,5.48,2.72,3.18,3.66,2.98,15.26,16.02,14.67,1.67,2.07,2.17,12.55,11.92,14.34,13.37,16.65,15.45,16.92,17.94,9.23,9.18
7,36.55,34.12,35.34,31.07,32.59,1.36,0.0,2.72,2.79,2.41,3.66,11.86,29.3,29.31,29.37,36.48,37.23,37.89,33.84,33.94,30.81,32.33,45.63,46.85,43.26,44.43,41.26,42.11,39.41,36.49,36.46,44.96,42.29,43.61,40.99,18.46,19.67,15.65,17.26,12.84,14.05,10.56,11.64,17.4,14.22,20.87,21.01,36.84,37.06,36.68,41.24,42.4,38.99,40.1,9.48,9.74,9.48,37.34,37.67,9.66,11.28,6.46,8.05,3.47,4.92,2.08,2.33,22.77,24.42,19.48,21.12,16.19,17.83,12.91,14.55,15.11,16.01,13.61,14.32,12.79,13.1,12.86,12.71,4.3,2.94,7.39,5.81,15.92,8.99,15.11,45.22,46.48,42.78,43.99,40.43,41.59,37.86,39.14,37.47,38.43,53.03,50.36,51.68,47.75,49.05,35.14,36.58,32.25,33.69,29.36,30.81,26.06,27.71,21.7,20.69,23.37,22.72,24.07,17.7,18.7,14.59,16.14,12.29,13.43,10.27,11.28,27.96,29.54,24.81,26.39,22.45,23.63,19.71,21.27,7.09,5.8,10.02,8.51,12.29,11.15,13.46,7.52,8.87,5.19,6.27,4.08,4.4,4.76,4.26,15.87,16.74,15.14,2.21,1.68,3.23,13.79,13.22,15.44,14.54,17.61,16.48,17.73,18.83,9.49,9.22
8,36.35,33.91,35.13,30.83,32.37,1.36,2.72,0.0,2.78,3.63,2.44,11.6,29.36,29.48,29.28,36.38,37.51,38.24,33.9,33.86,30.87,32.38,45.91,47.19,43.41,44.65,41.43,42.33,39.45,36.61,36.47,45.45,42.66,44.04,41.29,18.54,19.74,15.75,17.34,12.96,14.15,10.71,11.77,17.22,14.01,20.94,20.86,37.27,37.6,37.01,41.77,42.99,39.4,40.58,9.64,9.43,10.01,37.98,38.41,10.54,12.04,7.73,9.09,5.5,6.5,4.77,4.88,23.13,24.76,19.91,21.52,16.71,18.31,13.58,15.14,12.91,13.96,11.12,11.97,10.09,10.48,10.17,9.99,6.09,5.22,8.57,7.25,13.49,9.99,12.72,45.05,46.25,42.74,43.88,40.54,41.62,38.04,39.29,37.36,38.39,52.54,49.97,51.25,47.47,48.71,35.36,36.8,32.5,33.93,29.64,31.07,26.38,28.01,21.13,20.21,22.84,22.07,23.65,17.26,18.29,14.06,15.66,11.67,12.86,9.51,10.59,27.69,29.29,24.5,26.1,22.11,23.31,19.32,20.91,5.96,4.34,9.26,7.6,11.69,10.47,12.9,6.45,7.98,3.47,4.94,1.36,2.13,2.8,1.83,14.76,15.39,14.31,2.09,3.08,1.65,11.33,10.63,13.29,12.23,15.75,14.47,16.18,17.11,9.17,9.35
9,38.85,36.41,37.63,33.34,34.87,2.43,2.79,2.78,0.0,1.35,1.35,14.07,31.73,31.79,31.72,38.83,39.76,40.45,36.27,36.3,33.24,34.75,48.16,49.41,45.74,46.94,43.74,44.62,41.84,38.95,38.87,47.57,44.86,46.2,43.53,20.88,22.08,18.07,19.67,15.26,16.46,12.97,14.05,19.68,16.47,23.29,23.31,39.43,39.69,39.23,43.87,45.05,41.57,42.71,11.89,11.91,12.04,40.0,40.36,12.34,13.94,9.2,10.76,6.25,7.69,3.92,4.95,25.32,26.96,22.05,23.68,18.79,20.41,15.55,17.16,12.7,13.49,11.59,12.07,11.37,11.36,12.14,11.64,3.69,3.43,5.81,4.57,13.76,7.21,12.91,47.54,48.76,45.16,46.34,42.89,44.01,40.35,41.61,39.81,40.81,55.16,52.55,53.84,50.0,51.27,37.64,39.08,34.76,36.2,31.89,33.32,28.6,30.24,23.75,22.8,25.45,24.72,26.22,19.83,20.85,16.65,18.24,14.28,15.46,12.15,13.21,30.21,31.8,27.03,28.62,24.65,25.84,21.87,23.46,4.32,3.19,7.25,5.73,9.57,8.4,10.75,9.15,10.64,6.24,7.68,3.64,4.89,2.71,2.96,17.5,18.16,16.99,4.09,4.28,4.31,13.75,12.86,15.93,14.78,18.49,17.18,18.96,19.87,6.83,6.76
10,38.95,36.52,37.73,33.46,34.99,2.76,2.41,3.63,1.35,0.0,2.71,14.22,31.71,31.72,31.78,38.89,39.64,40.3,36.25,36.35,33.23,34.74,48.03,49.25,45.68,46.84,43.67,44.52,41.83,38.91,38.87,47.35,44.69,46.01,43.4,20.87,22.08,18.06,19.67,15.25,16.46,12.97,14.05,19.79,16.6,23.28,23.4,39.24,39.45,39.09,43.63,44.78,41.39,42.5,11.88,12.09,11.89,39.71,40.02,12.04,13.67,8.8,10.41,5.63,7.2,2.83,4.14,25.18,26.83,21.88,23.53,18.59,20.24,15.31,16.95,13.93,14.65,12.92,13.35,12.72,12.71,13.41,12.96,2.48,2.08,5.13,3.67,15.06,6.67,14.2,47.62,48.87,45.19,46.39,42.85,44.0,40.27,41.56,39.88,40.84,55.39,52.74,54.05,50.14,51.43,37.55,38.99,34.66,36.1,31.77,33.22,28.47,30.12,24.03,23.04,25.71,25.03,26.43,20.05,21.06,16.91,18.48,14.58,15.75,12.52,13.55,30.35,31.93,27.19,28.77,24.82,26.01,22.07,23.64,5.28,4.4,7.86,6.48,10.04,8.93,11.17,9.63,11.06,6.93,8.24,4.73,5.74,4.06,4.23,18.02,18.78,17.39,4.32,4.09,4.91,14.88,14.06,16.92,15.84,19.35,18.09,19.67,20.67,7.19,6.81
